bookTitle,authorName,rating,ratingsCount,yearPublished,Genres
And Then There Were None (Paperback),Agatha Christie,4.28,1441058,1939,mystery
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.2,658289,1934,mystery
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,3270407,2005,mystery
Gone Girl (Paperback),Gillian Flynn,4.14,3212301,2012,mystery
The Girl on the Train (Hardcover),Paula Hawkins,3.96,3058205,2015,mystery
"The da Vinci Code (Robert Langdon, #2)",Dan Brown,3.92,2408182,2003,mystery
The Silent Patient (Hardcover),Alex Michaelides,4.18,2551761,2019,mystery
"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,4,448618,1920,mystery
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,3.93,924710,2017,mystery
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,4.15,848044,2020,mystery
The 7 1/2 Deaths of Evelyn Hardcastle (Hardcover),Stuart Turton,3.81,416044,2018,mystery
"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,4.27,295947,1926,mystery
"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,3.89,597445,2013,mystery
"Angels & Demons (Robert Langdon, #1)",Dan Brown,3.94,3262317,2000,mystery
"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,3.88,567053,2020,mystery
The Guest List (Kindle Edition),Lucy Foley,3.81,1105277,2020,mystery
"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,4.14,462338,1887,mystery
"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,4.12,275513,1937,mystery
"In the Woods (Dublin Murder Squad, #1)",Tana French,3.79,413520,2007,mystery
"Still Life (Chief Inspector Armand Gamache, #1)",Louise Penny,3.9,261104,2005,mystery
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,359628,1902,mystery
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.25,942744,2006,mystery
Sharp Objects (Paperback),Gillian Flynn,4.01,1108103,2006,mystery
"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,3.82,172730,2009,mystery
"The Maid (Molly the Maid, #1)",Nita Prose,3.76,609551,2022,mystery
Where the Crawdads Sing (ebook),Delia Owens,4.38,3218903,2018,mystery
"Truly, Devious (Truly Devious, #1)",Maureen Johnson,3.91,161791,2018,mystery
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,309957,1892,mystery
We Were Liars (Kindle Edition),E. Lockhart,3.66,1205735,2014,mystery
"The A.B.C. Murders (Hercule Poirot, #13)",Agatha Christie,4.03,177840,1936,mystery
"Murder at the Vicarage (Miss Marple, #1)",Agatha Christie,4.05,196184,1930,mystery
"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly Jackson,4.28,608260,2020,mystery
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24,749771,2007,mystery
Rebecca (Kindle Edition),Daphne du Maurier,4.25,658765,1938,mystery
Dark Places (Hardcover),Gillian Flynn,3.95,781420,2009,mystery
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.05,561268,1994,mystery
"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,4.05,278743,2014,mystery
The Secret History (Paperback),Donna Tartt,4.17,835932,1992,mystery
The Woman in Cabin 10 (Hardcover),Ruth Ware,3.73,659836,2016,mystery
The Westing Game (Paperback),Ellen Raskin,4,220517,1978,mystery
"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,4.2,494382,2021,mystery
Verity (ebook),Colleen Hoover,4.31,3076808,2018,mystery
"Magpie Murders (Susan Ryeland, #1)",Anthony Horowitz,3.95,145061,2016,mystery
If We Were Villains (Hardcover),M.L. Rio,4.14,323816,2017,mystery
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.3,663386,2001,mystery
"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,3.81,269301,1998,mystery
The Woman in the Window (Kindle Edition),A.J. Finn,3.95,819721,2018,mystery
The Last Thing He Told Me (Hardcover),Laura Dave,3.83,1022884,2021,mystery
"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.75,622703,2009,mystery
The Curious Incident of the Dog in the Night-Time (Paperback),Mark Haddon,3.89,1519074,2003,mystery
The Book Thief (Kindle Edition),Markus Zusak,4.39,2667414,2005,historical-fiction
All the Light We Cannot See (Hardcover),Anthony Doerr,4.31,1775390,2014,historical-fiction
The Nightingale (Hardcover),Kristin Hannah,4.63,1565692,2015,historical-fiction
"Outlander (Outlander, #1)",Diana Gabaldon,4.26,1091492,1991,historical-fiction
The Help (Hardcover),Kathryn Stockett,4.47,2853877,2009,historical-fiction
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.34,784328,1989,historical-fiction
The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,4.41,3395303,2017,historical-fiction
Memoirs of a Geisha (Mass Market Paperback),Arthur Golden,4.15,2038965,1997,historical-fiction
The Song of Achilles (Paperback),Madeline Miller,4.32,1654828,2011,historical-fiction
The Guernsey Literary and Potato Peel Pie Society (Paperback),Mary Ann Shaffer,4.19,772381,2008,historical-fiction
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.08,503466,2001,historical-fiction
A Gentleman in Moscow (Paperback),Amor Towles,4.33,590377,2016,historical-fiction
Pachinko (Kindle Edition),Min Jin Lee,4.34,519082,2017,historical-fiction
To Kill a Mockingbird (Paperback),Harper Lee,4.26,6374891,1960,historical-fiction
The Kite Runner (Paperback),Khaled Hosseini,4.35,3255016,2003,historical-fiction
The Alice Network (Paperback),Kate Quinn,4.32,532898,2017,historical-fiction
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather Morris,4.31,1028659,2018,historical-fiction
Salt to the Sea (Hardcover),Ruta Sepetys,4.35,226726,2016,historical-fiction
Daisy Jones & The Six (Hardcover),Taylor Jenkins Reid,4.2,1628742,2019,historical-fiction
Between Shades of Gray (Hardcover),Ruta Sepetys,4.37,254387,2011,historical-fiction
The Four Winds (Hardcover),Kristin Hannah,4.3,766046,2021,historical-fiction
"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,3.91,217695,2009,historical-fiction
The Boy in the Striped Pajamas (Hardcover),John Boyne,4.16,873046,2006,historical-fiction
The Underground Railroad (Hardcover),Colson Whitehead,4.06,415434,2016,historical-fiction
Gone with the Wind (Mass Market Paperback),Margaret Mitchell,4.31,1236403,1936,historical-fiction
Girl with a Pearl Earring (Paperback),Tracy Chevalier,3.93,750701,1999,historical-fiction
Where the Crawdads Sing (ebook),Delia Owens,4.38,3218903,2018,historical-fiction
Water for Elephants (Paperback),Sara Gruen,4.11,1647158,2006,historical-fiction
